subject,sessionIndex,rep,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
azfar,1,1,0.16658949851989746,2.270991325378418,2.1044018268585205,0.155958890914917,0.1972975730895996,0.04133868217468262,0.1289076805114746,0.2841324806213379,0.15522480010986328,0.18561649322509766,0.9284875392913818,0.7428710460662842,0.18173670768737793,1.547520637512207,1.365783929824829,0.21137046813964844,0.6273047924041748,0.41593432426452637,0.1472926139831543,0.33222198486328125,0.18492937088012695,0.1553809642791748,0.8132691383361816,0.6578881740570068,0.12646079063415527,0.7941358089447021,0.6676750183105469,0.12637019157409668,0.6096596717834473,0.4832894802093506,0.15811443328857422
azfar,1,2,0.1657698154449463,0.9882981777191162,0.8225283622741699,0.13754987716674805,0.6188926696777344,0.48134279251098633,0.13518691062927246,0.33691883087158203,0.20173192024230957,0.16533422470092773,2.1951255798339844,2.0297913551330566,0.18908309936523438,1.8277549743652344,1.638671875,0.15504145622253418,0.6430494785308838,0.4880080223083496,0.15603017807006836,0.3510751724243164,0.19504499435424805,0.15002965927124023,0.3153238296508789,0.16529417037963867,0.11198163032531738,0.2684452533721924,0.156463623046875,0.129469633102417,0.3202488422393799,0.1907792091369629,0.13606476783752441
azfar,1,3,0.19108247756958008,0.8609819412231445,0.6698994636535645,0.16133379936218262,0.19162249565124512,0.0302886962890625,0.13225650787353516,0.2370140552520752,0.10475754737854004,0.17442893981933594,1.2735345363616943,1.0991055965423584,0.1875927448272705,0.5195040702819824,0.3319113254547119,0.1841435432434082,0.5668661594390869,0.3827226161956787,0.16200780868530273,0.26082396507263184,0.0988161563873291,0.14580225944519043,0.27292776107788086,0.12712550163269043,0.1385953426361084,0.670884370803833,0.5322890281677246,0.1464834213256836,0.6431643962860107,0.49668097496032715,0.146165132522583
azfar,1,4,0.15145158767700195,0.2716953754425049,0.12024378776550293,0.1557164192199707,0.5228805541992188,0.36716413497924805,0.12978005409240723,0.21613287925720215,0.08635282516479492,0.16531825065612793,0.8366026878356934,0.6712844371795654,0.17131543159484863,0.5123293399810791,0.34101390838623047,0.15690279006958008,1.3026161193847656,1.1457133293151855,0.15944862365722656,0.2610011100769043,0.10155248641967773,0.14493441581726074,0.24660181999206543,0.10166740417480469,0.12997031211853027,0.6765537261962891,0.5465834140777588,0.14074373245239258,0.774791955947876,0.6340482234954834,0.14134502410888672
azfar,1,5,0.16623687744140625,0.7893550395965576,0.6231181621551514,0.18581175804138184,0.29105114936828613,0.1052393913269043,0.1385347843170166,0.1708536148071289,0.032318830490112305,0.16957879066467285,0.8590471744537354,0.6894683837890625,0.15540528297424316,0.5435638427734375,0.38815855979919434,0.16967320442199707,0.546626091003418,0.3769528865814209,0.1607675552368164,0.2453610897064209,0.08459353446960449,0.16297149658203125,0.45220232009887695,0.2892308235168457,0.12069416046142578,0.2814812660217285,0.16078710556030273,0.13468194007873535,0.34334444999694824,0.2086625099182129,0.12333106994628906
azfar,1,6,0.13620615005493164,0.901496171951294,0.7652900218963623,0.15479016304016113,0.579981803894043,0.42519164085388184,0.12657499313354492,0.19722437858581543,0.07064938545227051,0.15024828910827637,1.9074420928955078,1.7571938037872314,0.20067763328552246,0.951862096786499,0.7511844635009766,0.14762163162231445,0.4113273620605469,0.2637057304382324,0.1360001564025879,0.7657873630523682,0.6297872066497803,0.16239595413208008,0.24686193466186523,0.08446598052978516,0.12051248550415039,0.447373628616333,0.3268611431121826,0.1302187442779541,1.009831428527832,0.8796126842498779,0.15260076522827148
azfar,1,7,0.15136981010437012,0.28755974769592285,0.13618993759155273,0.17511868476867676,0.33519911766052246,0.1600804328918457,0.13151764869689941,0.35314249992370605,0.22162485122680664,0.1191864013671875,0.4559023380279541,0.3367159366607666,0.13060522079467773,0.6620376110076904,0.5314323902130127,0.1616227626800537,0.5154626369476318,0.3538398742675781,0.17991852760314941,0.2241346836090088,0.044216156005859375,0.15526962280273438,0.1908271312713623,0.03555750846862793,0.16186881065368652,0.3271768093109131,0.16530799865722656,0.15535259246826172,0.34653306007385254,0.19118046760559082,0.1415550708770752
azfar,1,8,0.14008855819702148,0.22876620292663574,0.08867764472961426,0.18173646926879883,0.45877552032470703,0.2770390510559082,0.1254122257232666,0.25568628311157227,0.13027405738830566,0.13307642936706543,0.40198588371276855,0.2689094543457031,0.1477339267730713,2.076646566390991,1.92891263961792,0.1599714756011963,1.0530872344970703,0.893115758895874,0.1500413417816162,0.6787841320037842,0.528742790222168,0.17539596557617188,0.34308695793151855,0.16769099235534668,0.10817599296569824,0.41177892684936523,0.303602933883667,0.1384878158569336,0.7007341384887695,0.5622463226318359,0.14208149909973145
azfar,1,9,0.17641806602478027,0.9002265930175781,0.7238085269927979,0.15529847145080566,0.2255246639251709,0.07022619247436523,0.1487131118774414,0.17574858665466309,0.02703547477722168,0.16127538681030273,1.2191917896270752,1.0579164028167725,0.18846344947814941,1.5186240673065186,1.3301606178283691,0.15463852882385254,0.35136866569519043,0.1967301368713379,0.15556049346923828,0.17072629928588867,0.01516580581665039,0.14595770835876465,0.20790696144104004,0.06194925308227539,0.1229104995727539,0.9624807834625244,0.8395702838897705,0.11377882957458496,0.7416746616363525,0.6278958320617676,0.15317726135253906
azfar,1,10,0.15444469451904297,0.4122886657714844,0.2578439712524414,0.1300508975982666,0.20445990562438965,0.07440900802612305,0.14124298095703125,0.42355918884277344,0.2823162078857422,0.1609058380126953,0.8372867107391357,0.6763808727264404,0.1458432674407959,0.5024075508117676,0.3565642833709717,0.1660621166229248,0.32529735565185547,0.15923523902893066,0.15924668312072754,0.1763925552368164,0.017145872116088867,0.14105224609375,0.17167115211486816,0.030618906021118164,0.15541338920593262,0.32677245140075684,0.17135906219482422,0.13903212547302246,0.4364776611328125,0.29744553565979004,0.1516585350036621
