subject,sessionIndex,rep,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
chris,1,1,0.09847736358642578,0.27862000465393066,0.18014264106750488,0.17435312271118164,0.14499998092651367,-0.02935314178466797,0.14522600173950195,0.27265191078186035,0.1274259090423584,0.1578507423400879,0.6913774013519287,0.5335266590118408,0.18028664588928223,0.5242810249328613,0.3439943790435791,0.15697765350341797,0.21010494232177734,0.053127288818359375,0.1396009922027588,0.1831047534942627,0.043503761291503906,0.17349910736083984,0.15186429023742676,-0.021634817123413086,0.12844300270080566,0.7989077568054199,0.6704647541046143,0.09366869926452637,0.5706508159637451,0.47698211669921875,0.10952186584472656
chris,1,2,0.11324834823608398,0.23235249519348145,0.11910414695739746,0.13596463203430176,0.11782217025756836,-0.0181424617767334,0.13367366790771484,0.20687294006347656,0.07319927215576172,0.16894960403442383,0.764413595199585,0.5954639911651611,0.1791245937347412,1.038517713546753,0.8593931198120117,0.15100932121276855,0.2045893669128418,0.05358004570007324,0.0864114761352539,0.11862754821777344,0.03221607208251953,0.14888238906860352,0.13477301597595215,-0.014109373092651367,0.1509568691253662,0.523357629776001,0.37240076065063477,0.09493708610534668,0.2886223793029785,0.19368529319763184,0.08847403526306152
chris,1,3,0.12607359886169434,0.21452045440673828,0.08844685554504395,0.15935635566711426,0.10534000396728516,-0.0540163516998291,0.14101314544677734,0.16084623336791992,0.019833087921142578,0.12012338638305664,0.5061705112457275,0.3860471248626709,0.1347341537475586,0.3407895565032959,0.2060554027557373,0.13264107704162598,0.20836424827575684,0.07572317123413086,0.112884521484375,0.14854788780212402,0.03566336631774902,0.15780019760131836,0.08055853843688965,-0.07724165916442871,0.11391091346740723,0.7016220092773438,0.5877110958099365,0.08822774887084961,0.31808042526245117,0.22985267639160156,0.08513689041137695
chris,1,4,0.09578180313110352,0.1911463737487793,0.09536457061767578,0.1495368480682373,0.18169355392456055,0.03215670585632324,0.12252664566040039,0.13071966171264648,0.008193016052246094,0.13103938102722168,0.40375423431396484,0.27271485328674316,0.13109421730041504,0.3797156810760498,0.24862146377563477,0.13062119483947754,0.1638786792755127,0.033257484436035156,0.10411548614501953,0.12094235420227051,0.016826868057250977,0.1388411521911621,0.0769951343536377,-0.061846017837524414,0.12660002708435059,0.4380974769592285,0.31149744987487793,0.10164952278137207,0.23905706405639648,0.13740754127502441,0.09551477432250977
chris,1,5,0.09162354469299316,0.17371106147766113,0.08208751678466797,0.16327404975891113,0.12717604637145996,-0.03609800338745117,0.1396796703338623,0.18468284606933594,0.04500317573547363,0.1318824291229248,0.8580417633056641,0.7261593341827393,0.16702055931091309,0.46113014221191406,0.294109582901001,0.11168670654296875,0.18731212615966797,0.07562541961669922,0.087432861328125,0.10935187339782715,0.02191901206970215,0.14128637313842773,0.07559418678283691,-0.06569218635559082,0.11061620712280273,0.3517434597015381,0.24112725257873535,0.1006321907043457,0.31890368461608887,0.21827149391174316,0.0808248519897461
chris,1,6,0.10940217971801758,0.2520923614501953,0.14269018173217773,0.15495061874389648,0.09189581871032715,-0.06305480003356934,0.1360154151916504,0.17784976959228516,0.041834354400634766,0.132523775100708,0.8798227310180664,0.7472989559173584,0.17617249488830566,0.5024068355560303,0.3262343406677246,0.15157365798950195,0.19687628746032715,0.045302629470825195,0.09955739974975586,0.1069490909576416,0.007391691207885742,0.14105772972106934,0.09484434127807617,-0.046213388442993164,0.11610150337219238,0.28659486770629883,0.17049336433410645,0.10305118560791016,0.2562062740325928,0.15315508842468262,0.0694727897644043
chris,1,7,0.1239619255065918,0.20861554145812988,0.08465361595153809,0.15550827980041504,0.14656925201416016,-0.008939027786254883,0.15401554107666016,0.18197965621948242,0.027964115142822266,0.13889718055725098,0.8809378147125244,0.7420406341552734,0.1556835174560547,0.6139142513275146,0.45823073387145996,0.15362048149108887,0.18549156188964844,0.03187108039855957,0.09235095977783203,0.158585786819458,0.06623482704162598,0.1479628086090088,0.07068800926208496,-0.07727479934692383,0.1512284278869629,0.274505615234375,0.12327718734741211,0.10691690444946289,0.5277118682861328,0.4207949638366699,0.0785820484161377
chris,1,8,0.11602997779846191,0.1829833984375,0.06695342063903809,0.1504502296447754,0.12996959686279297,-0.020480632781982422,0.12585186958312988,0.15201663970947266,0.026164770126342773,0.13150310516357422,0.5824716091156006,0.45096850395202637,0.15135645866394043,0.36353373527526855,0.21217727661132812,0.13874554634094238,0.18616628646850586,0.04742074012756348,0.08538556098937988,0.11564135551452637,0.030255794525146484,0.1529712677001953,0.07817912101745605,-0.07479214668273926,0.11673521995544434,0.26092052459716797,0.14418530464172363,0.10297179222106934,0.21389150619506836,0.11091971397399902,0.08797693252563477
chris,1,9,0.11992788314819336,0.19798898696899414,0.07806110382080078,0.14584136009216309,0.10869359970092773,-0.03714776039123535,0.1693575382232666,0.20499372482299805,0.035636186599731445,0.14665627479553223,0.395305871963501,0.24864959716796875,0.1516561508178711,0.3910939693450928,0.23943781852722168,0.13738775253295898,0.18688559532165527,0.04949784278869629,0.0897829532623291,0.09689807891845703,0.00711512565612793,0.1637895107269287,0.10534524917602539,-0.05844426155090332,0.10587334632873535,0.2096259593963623,0.10375261306762695,0.09021496772766113,0.25203824043273926,0.16182327270507812,0.07090020179748535
chris,1,10,0.11179542541503906,0.17497873306274414,0.06318330764770508,0.14612436294555664,0.11794090270996094,-0.028183460235595703,0.13996481895446777,0.17611289024353027,0.0361480712890625,0.14097237586975098,0.4822731018066406,0.34130072593688965,0.17985081672668457,0.4019651412963867,0.22211432456970215,0.13405966758728027,0.18401885032653809,0.04995918273925781,0.09695315361022949,0.21985769271850586,0.12290453910827637,0.18893766403198242,0.16430449485778809,-0.024633169174194336,0.11603641510009766,0.31862306594848633,0.20258665084838867,0.051789283752441406,0.5528275966644287,0.5010383129119873,0.1012427806854248
