subject,sessionIndex,rep,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
safaraz,1,1,0.12901830673217773,0.13090753555297852,0.0018892288208007812,0.09892511367797852,0.15895652770996094,0.06003141403198242,0.1436154842376709,0.11199808120727539,-0.03161740303039551,0.12353730201721191,0.323871374130249,0.2003340721130371,0.12494492530822754,2.229259729385376,2.1043148040771484,0.08544731140136719,0.1385495662689209,0.05310225486755371,0.09218120574951172,0.12684988975524902,0.034668684005737305,0.13295936584472656,0.1124119758605957,-0.02054738998413086,0.098785400390625,0.10033082962036133,0.0015454292297363281,0.12740802764892578,0.5251407623291016,0.3977327346801758,0.06937861442565918
safaraz,1,2,0.09079265594482422,0.1026773452758789,0.011884689331054688,0.12621212005615234,0.28908514976501465,0.1628730297088623,0.11691737174987793,0.0714409351348877,-0.045476436614990234,0.09639525413513184,0.2353496551513672,0.13895440101623535,0.0941762924194336,0.3923044204711914,0.2981281280517578,0.11385941505432129,0.7010517120361328,0.5871922969818115,0.07514357566833496,0.09580850601196289,0.02066493034362793,0.10021090507507324,0.1018209457397461,0.0016100406646728516,0.09485673904418945,0.10541582107543945,0.01055908203125,0.16611051559448242,0.5550673007965088,0.38895678520202637,0.12583518028259277
safaraz,1,3,0.0942697525024414,0.14847230911254883,0.05420255661010742,0.10186481475830078,0.16360735893249512,0.061742544174194336,0.09891629219055176,0.09519791603088379,-0.0037183761596679688,0.10512447357177734,0.8158111572265625,0.7106866836547852,0.12107014656066895,0.6844615936279297,0.5633914470672607,0.09085607528686523,0.23892712593078613,0.1480710506439209,0.1109929084777832,0.1336193084716797,0.022626399993896484,0.09940385818481445,0.10988402366638184,0.010480165481567383,0.0948631763458252,0.08863997459411621,-0.006223201751708984,0.11667895317077637,0.23080801963806152,0.11412906646728516,0.10601592063903809
safaraz,1,4,0.09900569915771484,0.10148024559020996,0.002474546432495117,0.1043851375579834,0.13511157035827637,0.03072643280029297,0.10204625129699707,0.08501768112182617,-0.0170285701751709,0.11141324043273926,0.5250825881958008,0.4136693477630615,0.08385157585144043,0.35443592071533203,0.2705843448638916,0.11325812339782715,0.1768343448638916,0.06357622146606445,0.09356093406677246,0.12765789031982422,0.03409695625305176,0.11521220207214355,0.09740090370178223,-0.017811298370361328,0.08596062660217285,0.0778493881225586,-0.008111238479614258,0.10619139671325684,0.2078089714050293,0.10161757469177246,0.1245889663696289
safaraz,1,5,0.09481406211853027,0.13367509841918945,0.03886103630065918,0.13307499885559082,0.2818622589111328,0.148787260055542,0.11409425735473633,0.08011198043823242,-0.033982276916503906,0.11380600929260254,0.21892666816711426,0.10512065887451172,0.0938560962677002,0.3391129970550537,0.24525690078735352,0.12011599540710449,0.8141214847564697,0.6940054893493652,0.08106589317321777,0.10234856605529785,0.021282672882080078,0.0890512466430664,0.08625197410583496,-0.0027992725372314453,0.08019900321960449,0.09181094169616699,0.0116119384765625,0.0873105525970459,0.19330191612243652,0.10599136352539062,0.12115812301635742
safaraz,1,6,0.09170365333557129,0.3025515079498291,0.2108478546142578,0.10574841499328613,0.17603683471679688,0.07028841972351074,0.12480616569519043,0.10820198059082031,-0.016604185104370117,0.09563517570495605,0.2895529270172119,0.19391775131225586,0.072265625,0.3164024353027344,0.24413681030273438,0.10475039482116699,0.15587520599365234,0.05112481117248535,0.08602643013000488,0.13498473167419434,0.04895830154418945,0.11870932579040527,0.08395934104919434,-0.03474998474121094,0.08468198776245117,0.0749821662902832,-0.009699821472167969,0.1190648078918457,0.19414758682250977,0.07508277893066406,0.14749670028686523
safaraz,1,7,0.09016704559326172,0.10414814949035645,0.013981103897094727,0.12246489524841309,0.15700554847717285,0.034540653228759766,0.1510307788848877,0.1639862060546875,0.012955427169799805,0.10911011695861816,0.6610252857208252,0.551915168762207,0.08871626853942871,0.3369417190551758,0.24822545051574707,0.10911893844604492,0.13904333114624023,0.029924392700195312,0.09324955940246582,0.15462493896484375,0.06137537956237793,0.10737442970275879,0.057776689529418945,-0.049597740173339844,0.08516740798950195,0.08335471153259277,-0.0018126964569091797,0.10426878929138184,0.19326376914978027,0.08899497985839844,0.12507867813110352
safaraz,1,8,0.10607481002807617,0.2092125415802002,0.10313773155212402,0.10362100601196289,0.16067004203796387,0.05704903602600098,0.15645527839660645,0.13518834114074707,-0.021266937255859375,0.10751509666442871,0.23739933967590332,0.1298842430114746,0.06965112686157227,0.3500962257385254,0.2804450988769531,0.10084009170532227,0.1527247428894043,0.05188465118408203,0.09616684913635254,0.13963556289672852,0.04346871376037598,0.10283541679382324,0.10720992088317871,0.004374504089355469,0.07327127456665039,0.035988807678222656,-0.037282466888427734,0.13826560974121094,0.28922057151794434,0.1509549617767334,0.09906363487243652
safaraz,1,9,0.10210394859313965,0.22312617301940918,0.12102222442626953,0.129044771194458,0.1906588077545166,0.061614036560058594,0.15987181663513184,0.14641332626342773,-0.013458490371704102,0.10793519020080566,0.22246551513671875,0.11453032493591309,0.08940649032592773,0.3543698787689209,0.26496338844299316,0.09934639930725098,0.15990924835205078,0.060562849044799805,0.09216690063476562,0.14599275588989258,0.05382585525512695,0.10081195831298828,0.09919285774230957,-0.001619100570678711,0.09974265098571777,0.06679630279541016,-0.03294634819030762,0.12921595573425293,1.6024987697601318,1.473282814025879,0.11944699287414551
safaraz,1,10,0.10449910163879395,0.1537630558013916,0.049263954162597656,0.10721063613891602,0.231278657913208,0.12406802177429199,0.12934422492980957,0.1886274814605713,0.05928325653076172,0.1043243408203125,0.22714757919311523,0.12282323837280273,0.08684539794921875,0.3887314796447754,0.30188608169555664,0.09952211380004883,0.14110922813415527,0.041587114334106445,0.11117863655090332,0.1463761329650879,0.03519749641418457,0.11081814765930176,0.06160092353820801,-0.04921722412109375,0.11295652389526367,0.05883383750915527,-0.0541226863861084,0.1531081199645996,0.3015725612640381,0.14846444129943848,0.12681174278259277
