subject,sessionIndex,rep,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
Qi Kai,1,1,0.05116915702819824,0.8206775188446045,0.7695083618164062,0.06537628173828125,0.1535961627960205,0.08821988105773926,0.05804610252380371,0.2623121738433838,0.20426607131958008,0.07250332832336426,1.054105520248413,0.9816021919250488,0.08345246315002441,0.7077620029449463,0.6243095397949219,0.1152791976928711,0.21682095527648926,0.10154175758361816,0.060006141662597656,0.20438838005065918,0.14438223838806152,0.07530069351196289,0.1668531894683838,0.0915524959564209,0.06509876251220703,0.5038695335388184,0.43877077102661133,0.06820559501647949,0.3738827705383301,0.3056771755218506,0.040894269943237305
Qi Kai,1,2,0.047260284423828125,0.21744155883789062,0.1701812744140625,0.07684898376464844,0.18562602996826172,0.10877704620361328,0.06662464141845703,0.11221075057983398,0.04558610916137695,0.0888826847076416,0.6048758029937744,0.5159931182861328,0.10222673416137695,0.5208311080932617,0.41860437393188477,0.12015509605407715,0.18065500259399414,0.06049990653991699,0.08749985694885254,0.11917734146118164,0.0316774845123291,0.07973384857177734,0.13714313507080078,0.05740928649902344,0.06074953079223633,0.3040311336517334,0.24328160285949707,0.07551240921020508,0.860741138458252,0.7852287292480469,0.04970812797546387
Qi Kai,1,3,0.03319978713989258,0.2492227554321289,0.21602296829223633,0.08101034164428711,0.15787410736083984,0.07686376571655273,0.05453014373779297,0.45209455490112305,0.3975644111633301,0.0904083251953125,0.34355831146240234,0.25314998626708984,0.08738875389099121,0.5394182205200195,0.4520294666290283,0.09361100196838379,0.19354033470153809,0.0999293327331543,0.0864858627319336,0.6432528495788574,0.5567669868469238,0.08552169799804688,0.14649534225463867,0.0609736442565918,0.043358802795410156,0.3467235565185547,0.30336475372314453,0.09874200820922852,0.32741856575012207,0.22867655754089355,0.04859161376953125
Qi Kai,1,4,0.06355071067810059,1.1919994354248047,1.128448724746704,0.09125185012817383,0.16046690940856934,0.06921505928039551,0.06989789009094238,0.10575723648071289,0.03585934638977051,0.08141541481018066,0.2678534984588623,0.18643808364868164,0.09468245506286621,0.3334465026855469,0.23876404762268066,0.12598872184753418,0.24480080604553223,0.11881208419799805,0.08825373649597168,0.1088705062866211,0.020616769790649414,0.08461594581604004,0.13090825080871582,0.04629230499267578,0.05992293357849121,0.2295970916748047,0.16967415809631348,0.07117152214050293,0.2667057514190674,0.19553422927856445,0.03608441352844238
Qi Kai,1,5,0.054000139236450195,0.31894540786743164,0.26494526863098145,0.06638240814208984,0.12845683097839355,0.06207442283630371,0.06032991409301758,0.0880880355834961,0.027758121490478516,0.07421422004699707,0.38246679306030273,0.30825257301330566,0.08394432067871094,1.3100359439849854,1.2260916233062744,0.1199653148651123,0.540459394454956,0.42049407958984375,0.08436203002929688,0.12182331085205078,0.037461280822753906,0.09651780128479004,0.08611774444580078,-0.010400056838989258,0.06337809562683105,0.2261359691619873,0.16275787353515625,0.0620572566986084,0.25055742263793945,0.18850016593933105,0.043546438217163086
Qi Kai,1,6,0.07799243927001953,0.9130494594573975,0.8350570201873779,0.07980465888977051,0.15282034873962402,0.07301568984985352,0.07348370552062988,0.06155896186828613,-0.01192474365234375,0.08662700653076172,0.32451677322387695,0.23788976669311523,0.09006094932556152,1.9515936374664307,1.8615326881408691,0.1311960220336914,0.7673592567443848,0.6361632347106934,0.06021738052368164,0.12133169174194336,0.06111431121826172,0.08034348487854004,0.09523415565490723,0.014890670776367188,0.06529116630554199,0.22080755233764648,0.1555163860321045,0.06306123733520508,0.27148914337158203,0.20842790603637695,0.037630558013916016
Qi Kai,1,7,0.04980134963989258,0.33750391006469727,0.2877025604248047,0.07399487495422363,0.10941267013549805,0.035417795181274414,0.06456565856933594,0.13022851943969727,0.06566286087036133,0.06891870498657227,1.0026159286499023,0.9336972236633301,0.039377450942993164,0.4540989398956299,0.4147214889526367,0.09635567665100098,0.23940110206604004,0.14304542541503906,0.09792184829711914,0.09624719619750977,-0.001674652099609375,0.09153866767883301,0.1317918300628662,0.0402531623840332,0.05821084976196289,0.21788668632507324,0.15967583656311035,0.06510400772094727,0.24483203887939453,0.17972803115844727,0.033286094665527344
Qi Kai,1,8,0.0702202320098877,0.18993425369262695,0.11971402168273926,0.08951044082641602,0.1440129280090332,0.05450248718261719,0.058626651763916016,0.08758282661437988,0.028956174850463867,0.10005521774291992,0.2470855712890625,0.14703035354614258,0.06933259963989258,0.444652795791626,0.3753201961517334,0.10941362380981445,0.21346545219421387,0.10405182838439941,0.08533000946044922,0.1413431167602539,0.05601310729980469,0.07178330421447754,0.12131071090698242,0.04952740669250488,0.06526851654052734,0.21983647346496582,0.15456795692443848,0.06586551666259766,0.2239224910736084,0.15805697441101074,0.03326821327209473
Qi Kai,1,9,0.03477072715759277,0.20328927040100098,0.1685185432434082,0.06154179573059082,0.14124727249145508,0.07970547676086426,0.05967903137207031,0.11781668663024902,0.05813765525817871,0.0886986255645752,0.3713200092315674,0.2826213836669922,0.07013916969299316,1.0690038204193115,0.9988646507263184,0.11543393135070801,0.2881653308868408,0.1727313995361328,0.07543396949768066,0.1743628978729248,0.09892892837524414,0.06969809532165527,0.09361124038696289,0.023913145065307617,0.06447029113769531,0.20243501663208008,0.13796472549438477,0.06164264678955078,0.22190284729003906,0.16026020050048828,0.04703235626220703
Qi Kai,1,10,0.034316062927246094,0.221907377243042,0.1875913143157959,0.07106232643127441,0.14752602577209473,0.07646369934082031,0.0547795295715332,0.1184995174407959,0.0637199878692627,0.07608914375305176,0.8768832683563232,0.8007941246032715,0.095184326171875,0.41854405403137207,0.32335972785949707,0.09262418746948242,0.41603755950927734,0.3234133720397949,0.08626699447631836,0.13312363624572754,0.04685664176940918,0.07274651527404785,0.10655069351196289,0.03380417823791504,0.05500221252441406,0.17479777336120605,0.11979556083679199,0.06858587265014648,0.25637292861938477,0.18778705596923828,0.03653693199157715
Qi Kai,2,1,0.04914665222167969,0.19694113731384277,0.14779448509216309,0.0912315845489502,0.49282193183898926,0.40159034729003906,0.059647321701049805,0.0789632797241211,0.01931595802307129,0.07297134399414062,0.31300830841064453,0.2400369644165039,0.09307980537414551,0.35115623474121094,0.25807642936706543,0.1098027229309082,0.19863438606262207,0.08883166313171387,0.07585930824279785,0.1453704833984375,0.06951117515563965,0.06833934783935547,0.0825190544128418,0.014179706573486328,0.05796337127685547,0.1895146369934082,0.13155126571655273,0.07079744338989258,0.22854924201965332,0.15775179862976074,0.026736021041870117
