subject,sessionIndex,rep,Hold,Down-Down,Up-Down
Andy,2,9,0.1375103,0.13121891,-0.006291389
Andy,2,10,0.134326935,0.233576775,0.09924984
Andy,3,1,0.159016132,0.156644583,-0.00237155
Andy,3,2,0.111400604,0.157068491,0.045667887
Andy,3,3,0.125599623,0.165622711,0.040023088
Andy,3,4,0.124279976,0.161939621,0.037659645
Andy,3,5,0.129136324,0.155296564,0.02616024
Andy,3,6,0.138383627,0.167412281,0.029028654
Andy,3,7,0.137659311,0.17970109,0.042041779
Andy,3,8,0.118776083,0.151914835,0.033138752
Andy,3,9,0.111060619,0.157413006,0.046352386
Andy,3,10,0.140050411,0.161940813,0.021890402
Andy,4,1,0.137906551,1.159038305,1.021131754
Andy,4,2,0.130857944,0.167844772,0.036986828
Andy,4,3,0.151142597,0.165297031,0.014154434
Andy,4,4,0.117856264,0.854789019,0.736932755
Andy,4,5,0.113058805,0.179264545,0.06620574
Andy,4,6,0.131842375,0.17146492,0.039622545
Andy,4,7,0.116428375,0.137252808,0.020824432
Andy,4,8,0.147548914,0.158567905,0.011018991
Andy,4,9,0.13380599,0.207545042,0.073739052
Andy,4,10,0.142469645,0.14545393,0.002984285
Andy,5,1,0.144222736,0.16945219,0.025229454
Andy,5,2,0.132484198,0.095742226,-0.036741972
Andy,5,3,0.157810688,0.20477581,0.046965122
Andy,5,4,0.126192331,0.182290554,0.056098223
Andy,5,5,0.108673334,0.154635906,0.045962572
Andy,5,6,0.141899586,0.104047537,-0.037852049
Andy,5,7,0.136226654,0.175843239,0.039616585
Andy,5,8,0.17377615,0.170797348,-0.002978802
Andy,5,9,0.135473013,0.105670452,-0.029802561
Andy,5,10,0.114597559,0.146654606,0.032057047
Andy,6,1,0.134366512,0.141305685,0.006939173
Andy,6,2,0.134579897,0.158718824,0.024138927
Andy,6,3,0.121385098,0.141951561,0.020566463
Andy,6,4,0.111324549,0.1405797,0.029255152
Andy,6,5,0.111764193,0.197152138,0.085387945
Andy,6,6,0.13821125,0.14824748,0.01003623
Andy,6,7,0.151570559,0.121455669,-0.030114889
Andy,6,8,0.141488075,0.685440063,0.543951988
Andy,6,9,0.111432076,0.140298605,0.028866529
